title,video id,youtube url,filename,tags,primary_movement_pattern
Knees-to-Feet Drill,tLf_ffpewaE,https://www.youtube.com/watch?v=tLf_ffpewaE,,['Uncategorized'],
Hamstring Mobilization With Lacrosse Ball,xPN8N2Mvv_o,https://www.youtube.com/watch?v=xPN8N2Mvv_o,,['lower body'],
Half-Kneeling Band Overhead Shrug,yFg1Tzx1koc,https://www.youtube.com/watch?v=yFg1Tzx1koc,,"Push, ['band'], stability",Push
Half-Kneeling Pallof Press Iso With Band,UBv-aN6sXwA,https://www.youtube.com/watch?v=UBv-aN6sXwA,,"'band'], Push, ['upper body', upper body",Push
Inverted Row With Weight Vest,UaMZVlyU4w8,https://www.youtube.com/watch?v=UaMZVlyU4w8,,"Pull, ['upper body'], arm",Pull
Kettlebell Split Squat With Blocked Knee,XvY9j3Vb9dA,https://www.youtube.com/watch?v=XvY9j3Vb9dA,,"Squat, ['lower body']",Squat
Hanging Unilateral March,YfIZB8WV0Ug,https://www.youtube.com/watch?v=YfIZB8WV0Ug,,['Uncategorized'],
Goblet Step-Up,ZCW7_vinda4,https://www.youtube.com/watch?v=ZCW7_vinda4,,['Uncategorized'],
Half-Kneeling Band Chop,b-9Npg9n7xI,https://www.youtube.com/watch?v=b-9Npg9n7xI,,"Locomotion, ['band']",Locomotion
Inverted Row With Feet Elevated,c57I5P2b2MU,https://www.youtube.com/watch?v=c57I5P2b2MU,,"Pull, ['upper body'], arm",Pull
Half-Kneeling Band Lift,cXFm-nXqAfU,https://www.youtube.com/watch?v=cXFm-nXqAfU,,['band'],
Half-Kneeling Cable Chop,cr9jrIcbpKA,https://www.youtube.com/watch?v=cr9jrIcbpKA,,"Core, ['Uncategorized']",Core
Landmine Rainbow,d4wjS9dV92c,https://www.youtube.com/watch?v=d4wjS9dV92c,,['Uncategorized'],
Inverted Row,4NFyOKkwuwk,https://www.youtube.com/watch?v=4NFyOKkwuwk,,"Pull, ['upper body'], arm",Pull
Half-Kneeling Pallof Press Iso,6IvdIMlDPpI,https://www.youtube.com/watch?v=6IvdIMlDPpI,,"Push, ['upper body'], upper body",Push
Hinge to Side Plank,8aFSBYY2jZU,https://www.youtube.com/watch?v=8aFSBYY2jZU,,"Core, ['core']",Core
Kettlebell Armbar,EVr1mYdf07k,https://www.youtube.com/watch?v=EVr1mYdf07k,,['upper body'],
Hand Cross-Over,HeVjHXbb_NU,https://www.youtube.com/watch?v=HeVjHXbb_NU,,['Uncategorized'],
Hip Flexor Stretch,OzjTfWmv_G8,https://www.youtube.com/watch?v=OzjTfWmv_G8,,['mobility'],
Lat and Triceps Stretch,PyH4yST4KQo,https://www.youtube.com/watch?v=PyH4yST4KQo,,"'mobility'], Accessory, ['upper body'",Accessory
Hands-Elevated Pushup to Single-Arm Support,QLhnoWWZnpQ,https://www.youtube.com/watch?v=QLhnoWWZnpQ,,"Push, ['upper body'], upper body",Push
Goblet Squat Iso,S7S3npfdAN0,https://www.youtube.com/watch?v=S7S3npfdAN0,,"Squat, ['lower body']",Squat
Hip-Belt Squat,SszFIz-UmI4,https://www.youtube.com/watch?v=SszFIz-UmI4,,"Squat, ['lower body']",Squat
Overhead Dumbbell Reverse Lunge,fDORXDuuKoc,https://www.youtube.com/watch?v=fDORXDuuKoc,,"Squat, ['lower body']",Squat
Offset Dumbbell Reverse Lunge,fdNXnmxGFrc,https://www.youtube.com/watch?v=fdNXnmxGFrc,,"Squat, ['lower body']",Squat
Offset Dumbbell Slideboard Reverse Lunge,kJkBNNd_x5s,https://www.youtube.com/watch?v=kJkBNNd_x5s,,"Squat, ['lower body']",Squat
Overhead Offset Dumbbell Reverse Lunge,kadMOuaLhns,https://www.youtube.com/watch?v=kadMOuaLhns,,"Squat, ['lower body']",Squat
Overhead Dumbbell Reverse Lunge From Deficit,kwSwI1oMrto,https://www.youtube.com/watch?v=kwSwI1oMrto,,"Squat, ['lower body']",Squat
No Money Drill,rfMi6vEoNU4,https://www.youtube.com/watch?v=rfMi6vEoNU4,,['Uncategorized'],
Offset Dumbbell Reverse Lunge to Romanian Deadlift,valYc-8h84E,https://www.youtube.com/watch?v=valYc-8h84E,,"Squat, ['lower body']",Squat
