id,name,video_url,movement_type,body_focus
175,Barbell Romanian Deadlift,https://www.youtube.com/watch?v=BW0Kh9DyDPE,strength,"[""full-body""]"
164,Barbell Slideboard Reverse Lunge,https://www.youtube.com/watch?v=TQN7Kna-4U4,strength,"[""lower-body""]"
165,Barbell Split Squat,https://www.youtube.com/watch?v=X2ma6SANyZk,strength,"[""lower-body""]"
161,Barbell Sumo Deadlift,https://www.youtube.com/watch?v=ogkdhWVfjIE,strength,"[""full-body""]"
177,Bear Crawl,https://www.youtube.com/watch?v=PC-RHLa9mmA,strength,"[""full-body""]"
171,Bent-Over Dumbbell Row,https://www.youtube.com/watch?v=5YG4RuyoxcM,strength,"[""upper-body""]"
396,Bent-Over Dumbbell Row,https://www.youtube.com/watch?v=5YG4RuyoxcM,,"[""Full Body""]"
346,Bent-Over Dumbbell Row,https://www.youtube.com/watch?v=5YG4RuyoxcM,,"[""Full Body""]"
163,Bird Dog,https://www.youtube.com/watch?v=SszoTQs6q9Y,strength,"[""full-body""]"
167,Bodyweight Cross-Over Step-Up,https://www.youtube.com/watch?v=_EaSo93jnXU,strength,"[""full-body""]"
174,Bodyweight Get-Up,https://www.youtube.com/watch?v=9OZv39ct-7o,strength,"[""full-body""]"
336,Bodyweight Lateral Lunge With Assistance,https://www.youtube.com/watch?v=PWBPeCl6CoI,,"[""Full Body""]"
178,Bodyweight Lateral Lunge With Assistance,https://www.youtube.com/watch?v=PWBPeCl6CoI,strength,"[""lower-body""]"
386,Bodyweight Lateral Lunge With Assistance,https://www.youtube.com/watch?v=PWBPeCl6CoI,,"[""Full Body""]"
179,Bodyweight Lateral Squat,https://www.youtube.com/watch?v=PuLp7QAV6ZI,strength,"[""lower-body""]"
351,Bodyweight Reverse Lunge With Blocked Knee,https://www.youtube.com/watch?v=cv-B2kJanb0,,"[""Full Body""]"
401,Bodyweight Reverse Lunge With Blocked Knee,https://www.youtube.com/watch?v=cv-B2kJanb0,,"[""Full Body""]"
168,Bodyweight Reverse Lunge With Blocked Knee,https://www.youtube.com/watch?v=cv-B2kJanb0,strength,"[""lower-body""]"
173,Bodyweight Split Squat With Blocked Knee,https://www.youtube.com/watch?v=5mAx_tzQLIw,strength,"[""lower-body""]"
365,Bodyweight Split Squat With Blocked Knee,https://www.youtube.com/watch?v=5mAx_tzQLIw,Strength,"[""Full Body""]"
415,Bodyweight Split Squat With Blocked Knee,https://www.youtube.com/watch?v=5mAx_tzQLIw,Strength,"[""Full Body""]"
162,Bodyweight Squat Thrust,https://www.youtube.com/watch?v=vg6p96rE5PU,strength,"[""lower-body""]"
166,Bodyweight Squat to Box,https://www.youtube.com/watch?v=YC1s3RMGS8M,strength,"[""lower-body""]"
176,Bodyweight Step-Up,https://www.youtube.com/watch?v=Id-aJcXX8s8,strength,"[""full-body""]"
430,Bodyweight Step-Up,https://www.youtube.com/watch?v=Id-aJcXX8s8,,"[""Full Body""]"
380,Bodyweight Step-Up,https://www.youtube.com/watch?v=Id-aJcXX8s8,,"[""Full Body""]"
384,Bowler Squat,https://www.youtube.com/watch?v=Eh1K71L3IwI,Strength,"[""Full Body""]"
209,Bowler Squat,https://www.youtube.com/watch?v=Eh1K71L3IwI,strength,"[""lower-body""]"
334,Bowler Squat,https://www.youtube.com/watch?v=Eh1K71L3IwI,Strength,"[""Full Body""]"
184,Brady Band Series,https://www.youtube.com/watch?v=kzBvYQTadIo,strength,"[""full-body""]"
183,Brady Band Series - Without Band,https://www.youtube.com/watch?v=jbFQl49isI4,strength,"[""full-body""]"
207,Burpee,https://www.youtube.com/watch?v=BuY1rvqXTsw,strength,"[""full-body""]"
354,Burpee,https://www.youtube.com/watch?v=BuY1rvqXTsw,,"[""Full Body""]"
404,Burpee,https://www.youtube.com/watch?v=BuY1rvqXTsw,,"[""Full Body""]"
410,Burpee Without Pushup,https://www.youtube.com/watch?v=5OXmnzGFClU,,"[""Full Body""]"
203,Burpee Without Pushup,https://www.youtube.com/watch?v=5OXmnzGFClU,strength,"[""upper-body""]"
360,Burpee Without Pushup,https://www.youtube.com/watch?v=5OXmnzGFClU,,"[""Full Body""]"
186,Cable External Rotation at 30 Degrees Abduction,https://www.youtube.com/watch?v=ogBNjiziPXk,strength,"[""core""]"
367,Cable External Rotation at 30 Degrees Abduction,https://www.youtube.com/watch?v=ogBNjiziPXk,,"[""Full Body""]"
417,Cable External Rotation at 30 Degrees Abduction,https://www.youtube.com/watch?v=ogBNjiziPXk,,"[""Full Body""]"
340,Cable External Rotation at 90 Degrees Abduction,https://www.youtube.com/watch?v=6MfGggayWVQ,,"[""Full Body""]"
204,Cable External Rotation at 90 Degrees Abduction,https://www.youtube.com/watch?v=6MfGggayWVQ,strength,"[""core""]"
390,Cable External Rotation at 90 Degrees Abduction,https://www.youtube.com/watch?v=6MfGggayWVQ,,"[""Full Body""]"
362,Cable External Rotation on Knee,https://www.youtube.com/watch?v=_wJ04msDU0g,,"[""Full Body""]"
199,Cable External Rotation on Knee,https://www.youtube.com/watch?v=_wJ04msDU0g,strength,"[""core""]"
412,Cable External Rotation on Knee,https://www.youtube.com/watch?v=_wJ04msDU0g,,"[""Full Body""]"
399,Cable Pull-Down,https://www.youtube.com/watch?v=76IhGAie_BI,,"[""Full Body""]"
349,Cable Pull-Down,https://www.youtube.com/watch?v=76IhGAie_BI,,"[""Full Body""]"
205,Cable Pull-Down,https://www.youtube.com/watch?v=76IhGAie_BI,strength,"[""upper-body"", ""core""]"
9,Chair-Based Upper Body Stretch,https://www.youtube.com/watch?v=3EMSCHVsEFc,,
374,Chest-Supported Dumbbell Row,https://www.youtube.com/watch?v=uvx76WZG1rM,,"[""Full Body""]"
424,Chest-Supported Dumbbell Row,https://www.youtube.com/watch?v=uvx76WZG1rM,,"[""Full Body""]"
187,Chest-Supported Dumbbell Row,https://www.youtube.com/watch?v=uvx76WZG1rM,strength,"[""upper-body""]"
197,Chest-Supported Dumbbell Row Iso,https://www.youtube.com/watch?v=X5TD5xdKTu0,strength,"[""upper-body""]"
423,Chin-Up,https://www.youtube.com/watch?v=KJnnqBMJjj8,,"[""Full Body""]"
200,Chin-Up,https://www.youtube.com/watch?v=KJnnqBMJjj8,strength,"[""full-body""]"
373,Chin-Up,https://www.youtube.com/watch?v=KJnnqBMJjj8,,"[""Full Body""]"
182,Close-Grip Barbell Bench Press,https://www.youtube.com/watch?v=iF0TFR72904,strength,"[""upper-body""]"
191,Close-Grip Pushup,https://www.youtube.com/watch?v=HxLKq0R0Gw4,strength,"[""upper-body""]"
181,Cross-Body Lat Mobilization,https://www.youtube.com/watch?v=fN1HoWcrhMM,strength,"[""full-body""]"
400,Dead Bug,https://www.youtube.com/watch?v=xx6Atwy3DoY,,"[""Full Body""]"
189,Dead Bug,https://www.youtube.com/watch?v=xx6Atwy3DoY,strength,"[""full-body""]"
350,Dead Bug,https://www.youtube.com/watch?v=xx6Atwy3DoY,,"[""Full Body""]"
196,Dead Bug With Legs Only,https://www.youtube.com/watch?v=U95OOYfkPXU,strength,"[""lower-body""]"
192,Deep Squat Wall Stretch,https://www.youtube.com/watch?v=Ny1wjk-HpkE,flexibility,"[""lower-body""]"
193,Dragon Flag,https://www.youtube.com/watch?v=NywaYUkJ-n0,strength,"[""full-body""]"
201,Dumbbell Bench Press,https://www.youtube.com/watch?v=39DbpHmHUlA,strength,"[""upper-body""]"
414,Dumbbell Cross-Over Step-Up,https://www.youtube.com/watch?v=E8m2rZugLt8,,"[""Full Body""]"
208,Dumbbell Cross-Over Step-Up,https://www.youtube.com/watch?v=E8m2rZugLt8,strength,"[""full-body""]"
364,Dumbbell Cross-Over Step-Up,https://www.youtube.com/watch?v=E8m2rZugLt8,,"[""Full Body""]"
406,Dumbbell Curl,https://www.youtube.com/watch?v=3BllABOTtic,Strength,"[""Full Body""]"
202,Dumbbell Curl,https://www.youtube.com/watch?v=3BllABOTtic,strength,"[""full-body""]"
356,Dumbbell Curl,https://www.youtube.com/watch?v=3BllABOTtic,Strength,"[""Full Body""]"
394,Dumbbell External Rotation on Knee,https://www.youtube.com/watch?v=A4vw566sOQU,,"[""Full Body""]"
206,Dumbbell External Rotation on Knee,https://www.youtube.com/watch?v=A4vw566sOQU,strength,"[""full-body""]"
344,Dumbbell External Rotation on Knee,https://www.youtube.com/watch?v=A4vw566sOQU,,"[""Full Body""]"
353,Dumbbell Floor Press,https://www.youtube.com/watch?v=YubE9M8Ui34,Strength,"[""Full Body""]"
